   30.32588       35.30251       29.18942              27
           1          68  0.7396240    
           2          68  0.6509991    
           1           1  0.6460476    
           2           1  -2.250319    
           1          67  0.5680289    
           2          67   3.138165    
           1          69 -0.5290899    
           2          69 -0.5217896    
           1          10   1.113060    
           2          11   1.872668    
           1          12   2.238132    
           2          12   1.275841    
           2          64 -0.4751186    
           1          65 -0.6641283    
           2          65  0.5094204    
           1          64 -0.4352875    
           1           7  0.4659548    
           2           7  0.2545261    
           1           9 -0.3795671    
           2           9   3.227396    
           1          70 -7.9390526E-02
           1           5 -0.4516726    
           2           5  7.1201324E-02
           1           2   2.263349    
           2           2   2.440001    
           1           6  0.1194820    
           2           6  -1.419285    
  -64.40086      -9.135828       5.337561              18
           2          70  6.5779686E-02
           1          70 -0.1394987    
           2          67 -0.1082478    
           1          67  0.5070314    
           1          71  0.5631428    
           1           9 -0.1476965    
           2           9 -0.2662163    
           1          12  0.2657261    
           2          12  0.1268349    
           2          71   2.507784    
           1           5 -0.2807531    
           1           7 -0.1082535    
           2           7  0.3530827    
           2           5   1.753560    
           2           1   3.052168    
           2           6  -1.210458    
           1           1 -0.1743441    
           1          64 -0.4853554    
   4.393540       5.644721       53.11945              20
           2          68 -2.7456284E-02
           2          67 -0.6923866    
           2          69  0.6013584    
           2          10  0.5959654    
           2          12  0.2460394    
           2          72   1.202248    
           1           7 -0.5282660    
           2           7 -0.6677341    
           1          64  0.1616049    
           2          64  -1.380380    
           1          65  0.3220549    
           2          65  -1.256332    
           1          73   1.539420    
           2          73   2.169466    
           1           9  2.3301125E-02
           2           9  5.5327415E-02
           1          70 -0.7022123    
           2          70 -0.8048954    
           1           2   1.992388    
           1           5   2.702579    
  -12.32226      -4.736856       49.48562              18
           2          71  -2.096375    
           2          10  8.6516380E-02
           1           1 -0.3021650    
           2           1 -0.1084251    
           2          64 -0.4135952    
           2          72 -0.4998951    
           2          73  0.4664478    
           1          12  -1.672371    
           2          12   1.416570    
           1           9   1.325926    
           2           9  0.9643669    
           2          70  0.4459887    
           1           7 -0.3981071    
           2           7   1.803757    
           1           5  0.3932896    
           2           5  0.5480700    
           2          11  0.2215204    
           2           6   2.925198    
