   34.75668       28.38977       33.10000              27
           1          68   7.446495       7.619528    
           2          68   12.93649       13.33407    
           1           1   8.216499       8.215219    
           2           1   11.54648       14.37673    
           1          67   7.836494       8.356585    
           2          67   16.40648       14.62409    
           1          69   7.556496       8.584255    
           2          69   14.17649       15.02270    
           1          10   8.906487       8.920779    
           2          11   16.36650       14.49991    
           1          12   10.33650       9.364354    
           2          12   15.99649       16.38775    
           2          64   17.36650       18.41818    
           1          65   8.906487       10.43326    
           2          65   17.80650       18.25828    
           1          64   9.446495       10.52461    
           1           7   10.33650       10.33047    
           2           7   18.07648       18.07834    
           1           9   9.986485       11.12280    
           2           9   21.91649       19.46494    
           1          70   10.27649       11.20418    
           1           5   10.26649       11.35244    
           2           5   19.37649       19.86693    
           1           2   13.01649       11.06210    
           2           2   21.80650       19.35876    
           1           6   11.50650       11.90729    
           2           6   19.05650       20.83784    
  -63.23652      -11.86987     -0.5000000              18
           2          70   14.78485       14.74129    
           1          70   8.474762       8.424009    
           2          67   21.70474       22.21966    
           1          67   13.17496       12.69714    
           1          71   12.88495       12.24472    
           1           9   8.924957       8.854098    
           2           9   15.25504       15.49403    
           1          12   11.60516       11.44721    
           2          12   19.61496       20.03248    
           2          71   23.71506       21.42914    
           1           5   9.134949       9.154175    
           1           7   11.68475       11.62622    
           2           7   20.63495       20.34608    
           2           5   17.87515       16.01921    
           2           1   26.28485       23.47553    
           2           6   15.18475       16.20860    
           1           1   13.30484       13.41467    
           1          64   10.01486       10.31781    
   5.224576       6.383423       52.70000              20
           2          68   13.93964       14.51685    
           2          67   13.64960       14.90256    
           2          69   14.54901       14.55587    
           2          10   15.00897       15.00354    
           2          12   15.23944       15.58659    
           2          72   16.07929       15.50496    
           1           7   7.529483       8.739218    
           2           7   13.94940       15.29368    
           1          64   8.209173       8.731758    
           2          64   13.21894       15.28061    
           1          65   8.379093       8.735538    
           2          65   13.35956       15.28725    
           1          73   9.799013       8.935108    
           2          73   17.13983       15.63638    
           1           9   8.279483       8.952809    
           2           9   15.01972       15.66736    
           1          70   7.639833       9.037228    
           2          70   14.30976       15.81512    
           1           2   10.49921       9.198759    
           1           5   11.03925       9.039830    
  -10.15851      0.4812012       56.80000              18
           2          71   13.58259       16.02508    
           2          10   15.89119       15.88164    
           1           1   9.113848       9.123820    
           2           1   15.59431       15.96673    
           2          64   14.23103       15.40254    
           2          72   15.10212       15.77544    
           2          73   15.52400       15.48372    
           1          12   8.070879       9.269283    
           2          12   17.69197       16.22123    
           1           9   10.07088       8.740088    
           2           9   15.49275       15.29517    
           2          70   15.10212       15.33423    
           1           7   8.621660       9.010028    
           2           7   16.81306       15.76761    
           1           5   9.152910       8.819445    
           2           5   15.10212       15.43401    
           2          11   17.03181       17.01721    
           2           6   17.74275       15.79778    
   41.86820      -130.5569       3.300003              26
           2           2   34.30112       34.30071    
           1          11   20.27134       21.03455    
           2          11   36.10093       36.81069    
           2           7   36.77134       36.78467    
           1          69   21.40122       21.79265    
           2          69   38.00132       38.13700    
           1           6   22.66099       21.25727    
           2           6   37.97104       37.19987    
           1          64   22.35093       22.41378    
           2          64   40.15122       39.22401    
           2           1   39.45103       39.82800    
           2           5   38.99106       38.99270    
           1          71   24.68101       23.68261    
           2          71   42.42124       41.44458    
           1           9   23.49106       23.27881    
           2           9   40.12095       40.73785    
           1          65   23.62095       24.02819    
           2          65   42.58091       42.04947    
           1          70   23.76108       24.02184    
           2          70   41.40122       42.03833    
           2          67   43.21128       44.27292    
           2          73   44.37095       43.90765    
           1          72   26.94126       25.86444    
           2          72   45.01108       45.26279    
           1          12   25.70103       26.51686    
           2          12   46.67124       46.40465    
  -13.67045      -73.72754       110.9000              23
           1           2   17.02258       17.03522    
           2           2   28.87415       29.81182    
           2           7   32.12415       30.80954    
           1           1   18.61438       18.85879    
           2           1   32.75305       33.00284    
           1          64   17.15344       18.03089    
           2          64   30.95422       31.55400    
           1          71   17.54407       19.18545    
           2          71   32.12415       33.57444    
           2           6   30.30383       30.09599    
           1          68   18.91321       19.70982    
           1           5   18.06360       17.70898    
           2           5   31.34290       30.99059    
           1           9   16.90344       18.16597    
           2           9   32.67297       31.79045    
           1          65   19.92297       18.69519    
           2          65   32.38391       32.71672    
           1          70   19.28430       18.47008    
           2          70   32.32336       32.32276    
           1          73   20.79407       19.17297    
           2          73   34.08313       33.55251    
           1          72   19.28430       19.78164    
           2          72   34.86438       34.61803    
  -55.66654      -18.14526       22.90000              36
           1          70   7.469664       7.466668    
           2          70   12.95013       13.06682    
           1           9   7.670836       7.665828    
           2           9   13.10053       13.41528    
           1           5   7.670836       7.732569    
           2           5   13.46967       13.53214    
           1           6   7.459899       7.650444    
           2           6   12.99115       13.38846    
           1          65   8.309508       8.413623    
           2          65   14.62982       14.72386    
           1          64   8.899352       8.746542    
           2          64   15.66107       15.30627    
           1          73   8.309508       8.321858    
           2          73   14.28021       14.56339    
           1           7   9.661068       9.701116    
           2           7   17.54974       16.97696    
           1          72   9.200133       9.382590    
           2          72   16.05951       16.41942    
           1          71   11.27045       10.62268    
           2          71   19.07123       18.58968    
           1           2   9.500915       9.945316    
           2           2   17.01068       17.40430    
           1          10   10.68060       10.46596    
           2          10   18.58099       18.31542    
           1          12   10.29974       10.34603    
           2          12   18.25092       18.10556    
           1          67   11.02045       11.22926    
           2          67   19.52045       19.65128    
           1           1   12.45013       11.52901    
           2           1   20.45013       20.17596    
           1          69   11.32123       11.47435    
           2          69   20.05951       20.08032    
           1          68   12.01068       12.01021    
           2          68   20.89935       21.01757    
           1          11   12.28998       12.79091    
           2          11   21.30951       22.38441    
   15.13600       20.63257       13.50000              23
           1          67   4.366461       4.191971    
           1           1   4.577398       4.602965    
           2           1   7.716070       8.055335    
           1          10   3.337164       4.891571    
           1          69   5.985600       5.342292    
           2          69   9.436772       9.348754    
           1          12   5.485600       5.558473    
           1          72   5.485600       6.120323    
           2          72   11.63599       10.71033    
           1          65   5.876225       6.758709    
           2          65   11.20630       11.82795    
           1          64   6.716070       7.075415    
