1.71			Ratio vp/vs
     -3.000      4.80      2.89
    10.000      5.80      3.47
    30.000      7.00      4.36
    50.000      8.00      4.62
   100.000      8.05      4.65
   300.000      9.00      5.00
   1000.000      10.00      5.00
   
