  -103.5218       19.50267      -1.554000     ALPI
  -103.5967       19.28767     -0.7870000     BAVA
  -103.4747       19.61050      -1.537000     CANO
  -103.4748       19.66683      -1.600000     CDGZ
  -103.7503       19.39750      -1.011000     COLM
  -103.7475       19.33233     -0.7000000     COMA
  -103.6148       19.36817      -1.173000     CUAT
  -103.6203       19.46617      -2.128000     EBMG
  -103.7717       19.45467      -1.111000     ESPN
  -103.6705       19.63833      -1.966000     GARC
  -103.4153       19.42267     -0.9840000     HIGA
  -103.7215       19.68967      -1.729000     JANU
  -103.9112       18.90133     -4.8000000E-02 MA01
  -103.6733       18.62733     -2.8999999E-02 MA02
  -103.2990       18.68850      -1.360000     MA04
  -103.1250       18.92367      -1.350000     MA05
  -102.8798       18.14617     -5.0000001E-02 MA06
  -102.7943       18.89333     -0.3880000     MA07
  -103.0045       18.53183      -1.791000     MA08
  -102.6567       18.06250     -7.0000002E-03 MA09
  -102.3440       18.42717     -0.8720000     MA11
  -102.1907       18.78117     -0.2510000     MA12
  -103.4190       19.23850     -0.7580000     MA14
  -102.2863       19.09850     -0.4300000     MA15
  -103.2540       19.97783      -2.130000     MA16
  -102.0330       19.48983      -2.010000     MA17
  -102.3997       19.54883      -1.615000     MA18
  -103.5555       18.90967     -9.0000004E-02 MA19
  -102.6160       19.72350      -1.749000     MA20
  -102.9380       19.85400      -2.281000     MA21
  -102.9090       19.59067     -0.9700000     MA22
  -103.1033       19.66717      -1.197000     MA23
  -103.5858       19.87183      -1.370000     MA24
  -104.0747       19.65917     -0.7880000     MA25
  -103.9353       19.31367     -0.5340000     MA26
  -103.1435       20.12067      -1.783000     MA27
  -102.5970       20.17867      -1.526000     MA28
  -102.3900       19.90383      -1.872000     MA29
  -104.2688       19.12683     -8.8000000E-02 MA30
  -104.1818       19.46700     -0.9240000     MA31
  -104.5340       19.61617     -0.2800000     MA32
  -104.5723       19.24317     -7.9999998E-02 MA33
  -104.7898       19.66167     -0.3480000     MA34
  -104.6348       19.87967     -0.6440000     MA35
  -104.8932       19.35933     -9.9999998E-03 MA36
  -105.3185       19.89900     -1.4000000E-02 MA37
  -104.9837       19.96233     -0.3050000     MA38
  -103.9420       20.21983      -1.266000     MA40
  -104.2538       20.18533      -1.522000     MA41
  -104.5175       20.27767      -1.596000     MA42
  -104.7815       20.24567      -1.328000     MA43
  -104.2643       19.96267      -1.340000     MA44
  -104.2197       19.81217     -0.8730000     MA45
  -103.9680       19.78917     -0.8830000     MA46
  -103.8553       19.71183      -1.055000     MA47
  -103.4362       19.53233      -1.125000     MA48
  -103.3108       19.46383      -1.138000     MA49
  -103.1648       19.40617      -1.438000     MA50
  -103.0180       19.36783     -0.7790000     MA51
  -102.7643       19.23817     -0.3490000     MA53
  -103.8603       20.08833      -1.724000     MA54
  -105.3280       20.32167     -0.5910000     MA55
  -103.0063       18.18183     -4.9999999E-03 MA66
  -103.6910       19.42700      -1.534000     MAZE
  -103.7458       19.51367      -1.450000     MORA
  -103.5480       19.71100      -1.634000     OLOT
  -103.6133       19.63417      -2.496000     PAVE
  -103.5288       19.59517      -2.010000     PERC
  -103.5082       19.44867      -1.152000     SANM
  -103.8028       19.49250      -1.018000     SCRI
  -103.6075       19.52400      -3.229000     SINN
  -103.7535       19.63517      -1.546000     SNID
  -103.7877       19.57017      -1.333000     ZAPO
