  -103.8320       19.98900       57.60000              33
           1          68   8.000000    
           2          68   13.48999    
           1           1   8.770004    
           2           1   12.09999    
           1          67   8.389999    
           2          67   16.95999    
           1          71   4.190002    
           1          66   10.53999    
           1          69   8.110001    
           2          69   14.73000    
           1          10   9.459991    
           2          10   20.70000    
           1          11   11.06999    
           2          11   16.92000    
           1          12   10.89000    
           2          12   16.55000    
           2          64   17.92000    
           1          65   9.459991    
           2          65   18.36000    
           1          64   10.00000    
           1           7   10.89000    
           2           7   18.62999    
           1           9   10.53999    
           2           9   22.47000    
           1          70   10.83000    
           2          70   15.84999    
           1           5   10.81999    
           2           5   19.92999    
           1           2   13.56999    
           2           2   22.36000    
           1           6   12.06000    
           2           6   19.61000    
          11          71   8.153800    
  -103.4447       19.64050       5.000000              21
           2          65   284.2202    
           2          70   277.1499    
           1          70   270.8398    
           2          67   284.0698    
           1          67   275.5400    
           1          71   275.2500    
           1           9   271.2900    
           2           9   277.6201    
           1          12   273.9702    
           2          12   281.9800    
           2          71   286.0801    
           1           5   271.5000    
           1           7   274.0498    
           2           7   283.0000    
           2           5   280.2402    
           2           1   288.6499    
           2           6   277.5498    
           1           1   275.6699    
           2          11   283.1899    
           1          64   272.3799    
           2          64   283.6299    
  -103.7510       20.02500       52.70000              30
           2          68   17.48047    
           1          67   7.310547    
           2          67   17.19043    
           1          71   5.339844    
           2          71   9.150391    
           2          69   18.08984    
           1          11   6.140625    
           2          11   15.35059    
           2          10   18.54980    
           1          12   7.870117    
           2          12   18.78027    
           2          72   19.62012    
           1           7   11.07031    
           2           7   17.49023    
           1          64   11.75000    
           2          64   16.75977    
           1          65   11.91992    
           2          65   16.90039    
           1          73   13.33984    
           2          73   20.68066    
           1           9   11.82031    
           2           9   18.56055    
           1          70   11.18066    
           2          70   17.85059    
           1           2   14.04004    
           2           2   23.06055    
           1           5   14.58008    
           2           5   24.20020    
          12          71   10.98560    
          12          69   34.68850    
  -104.0320       19.93100       51.30000              23
           1          71   4.339844    
           2          71   13.30859    
           2          10   15.61719    
           1           1   8.839844    
           2           1   15.32031    
           2          65   11.64844    
           2          64   13.95703    
           2          72   14.82812    
           2          69   11.20703    
           2          73   15.25000    
           1          12   7.796875    
           2          12   17.41797    
           1           9   9.796875    
           2           9   15.21875    
           2          70   14.82812    
           1           7   8.347656    
           2           7   16.53906    
           1           5   8.878906    
           2           5   14.82812    
           2          11   16.75781    
           2           6   17.46875    
           2           2   21.97656    
          12          71   14.80100    
  -103.5490       18.78900       128.3000              29
           2           2   34.37988    
           1          11   20.35010    
           2          11   36.17969    
           2           7   36.85010    
           1          69   21.47998    
           2          69   38.08008    
           1           6   22.73975    
           2           6   38.04980    
           1          64   22.42969    
           2          64   40.22998    
           2           1   39.52979    
           2           5   39.06982    
           1          71   24.75977    
           2          71   42.50000    
           1           9   23.56982    
           2           9   40.19971    
           1          65   23.69971    
           2          65   42.65967    
           1          70   23.83984    
           2          70   41.47998    
           2          67   43.29004    
           2          73   44.44971    
           1          72   27.02002    
           2          72   45.08984    
           1          12   25.77979    
           2          12   46.75000    
          12          11   34.68850    
          12           5   1240.690    
          12          65   124.4550    
  -103.6350       19.43500       125.4000              29
           1          11   12.78125    
           2          11   27.63086    
           1           2   17.33984    
           2           2   29.19141    
           2           7   32.44141    
           1           1   18.93164    
           2           1   33.07031    
           1          64   17.47070    
           2          64   31.27148    
           1          71   17.86133    
           2          71   32.44141    
           1           6   20.98047    
           2           6   30.62109    
           1          68   19.23047    
           1           5   18.38086    
           2           5   31.66016    
