  -70.14454      -20.90209      
  -69.98971      -20.97032          
  -70.28822      -20.71598          
  -69.80562      -21.48476           
  -69.87402      -21.03242           
  -69.97510      -21.29740           
  -71.34012      -19.89137           
  -71.18396      -20.01377           
  -70.65148      -20.41173          
  -70.31743      -20.74397           
  -70.74355      -21.12228           
  -70.90685      -20.93979           
  -71.65347      -20.46158           
  -71.46301      -20.61596           
  -71.25641      -21.47284           
  -70.84583      -21.53973           
  -71.41098      -20.69334           
  -70.64650      -20.61357           
  -70.92731      -21.03019           
  -70.78902      -21.46924           
  -71.13736      -21.97757           
  -71.15338      -22.00838           
  -70.68140      -21.56695           
  -70.96695      -20.91826           
  -71.26929      -19.51537           
  -71.56863      -19.47133           
  -71.57141      -19.42772           
  -70.70015      -18.94586           
  -70.32552      -18.76579           
  -71.49356      -19.12669           
